id,Time,Is_CH,who_CH,Dist_To_CH,ADV_S,ADV_R,JOIN_S,JOIN_R,SCH_S,SCH_R,Rank,DATA_S,DATA_R,Data_Sent_To_BS,dist_CH_To_BS,send_code,Expaned_Energy,Attack_type
0,50,1,101000,0,1,0,0,25,1,0,0,0,1200,48,130.08535,0,2.4694,Normal
1,50,0,101044,75.32345,0,4,1,0,0,1,2,38,0,0,0,4,0.06957,Normal
2,50,0,101010,46.95453,0,4,1,0,0,1,19,41,0,0,0,3,0.06898,Normal
3,50,0,101044,64.85231,0,4,1,0,0,1,16,38,0,0,0,4,0.06673,Normal
4,50,0,101010,4.83341,0,4,1,0,0,1,25,41,0,0,0,3,0.06534,Normal
5,50,0,101010,31.91198,0,4,1,0,0,1,18,41,0,0,0,3,0.06717,Normal
6,50,0,101044,24.34167,0,4,1,0,0,1,5,38,0,0,0,4,0.06214,Normal
7,50,0,101010,26.75033,0,4,1,0,0,1,21,41,0,0,0,3,0.06662,Normal
8,50,0,101044,63.66485,0,4,1,0,0,1,17,38,0,0,0,4,0.06649,Normal
9,50,0,101000,32.90217,0,4,1,0,0,1,12,48,0,0,0,1,0.07903,Normal
10,50,1,101010,0,1,0,0,30,1,0,0,0,1230,41,108.77162,0,2.3611,Normal
11,50,0,101044,13.17446,0,4,1,0,0,1,10,38,0,0,0,4,0.0613,Normal
12,50,0,101044,48.16567,0,4,1,0,0,1,13,38,0,0,0,4,0.06425,Normal
13,50,0,101010,66.9102,0,4,1,0,0,1,16,41,0,0,0,3,0.07263,Normal
14,50,0,101010,31.69105,0,4,1,0,0,1,17,41,0,0,0,3,0.06716,Normal
15,50,0,101010,21.52629,0,4,1,0,0,1,8,41,0,0,0,3,0.06654,Normal
16,50,0,101010,74.73928,0,4,1,0,0,1,4,41,0,0,0,3,0.0749,Normal
17,50,0,101044,27.78157,0,4,1,0,0,1,29,38,0,0,0,4,0.06139,Normal
18,50,0,101010,25.5197,0,4,1,0,0,1,26,41,0,0,0,3,0.06618,Normal
